id,product-name,console-name,price-in-pennies,include-string,condition-string,sku,notes,cost-basis-in-pennies,quantity,date-entered,date-purchased,grading-company,grading-cert-id,folder
4619490,1970 D,Coins Roosevelt Dime,182,Ungraded,Normal wear,,,0,1,2026-02-26,,,,
4613541,1976,Coins Kennedy Half Dollar,4416,Ungraded,Normal wear,,,0,8,2026-02-16,,,,
4562894,1958 D,Coins Lincoln Wheat Penny,516,Ungraded,Normal wear,,,0,2,2026-02-20,,,,
4613539,1974,Coins Kennedy Half Dollar,1595,Ungraded,Normal wear,,,0,5,2026-02-16,,,,
4612382,1939,Coins Washington Quarter,3100,Ungraded,Normal wear,,,0,2,2026-02-28,,,,
4611750,1971 D,Coins Eisenhower Dollar,10675,Ungraded,Normal wear,,,0,25,2026-02-16,,,,
4613531,1969 D,Coins Kennedy Half Dollar,1100,Ungraded,Normal wear,,,0,1,2026-02-16,,,,
4619493,1972,Coins Roosevelt Dime,192,Ungraded,Normal wear,,,0,1,2026-02-26,,,,
4562838,1941 D,Coins Lincoln Wheat Penny,599,Ungraded,Normal wear,,,0,1,2026-02-20,,,,
4562859,1946,Coins Lincoln Wheat Penny,8676,Ungraded,Normal wear,,,0,36,2026-02-17,,,,
4619824,1936,Coins Buffalo Nickel,1550,Ungraded,Normal wear,,,0,1,2026-02-27,,,,
4613529,1967,Coins Kennedy Half Dollar,9450,Ungraded,Normal wear,,,0,9,2026-02-16,,,,
4562753,1912,Coins Lincoln Wheat Penny,1721,Ungraded,Normal wear,,,0,1,2026-02-20,,,,
4562878,1952 D,Coins Lincoln Wheat Penny,1625,Ungraded,Normal wear,,,0,5,2026-02-20,,,,
4562800,1928,Coins Lincoln Wheat Penny,24025,Ungraded,Normal wear,,,0,25,2026-02-20,,,,
4562877,1952,Coins Lincoln Wheat Penny,897,Ungraded,Normal wear,,,0,3,2026-02-20,,,,
4562840,1942,Coins Lincoln Wheat Penny,1176,Ungraded,Normal wear,,,0,4,2026-02-20,,,,
4612394,1943,Coins Washington Quarter,5556,Ungraded,Normal wear,,,0,4,2026-02-16,,,,
4563365,1884,Coins Indian Head Penny,500,Ungraded,Normal wear,,,0,1,2026-02-16,,,,
4612421,1952 D,Coins Washington Quarter,4125,Ungraded,Normal wear,,,0,3,2026-03-01,,,,
4619916,1965,Coins Jefferson Nickel,266,Ungraded,Normal wear,,,0,1,2026-02-27,,,,
4612424,1953 D,Coins Washington Quarter,1522,Ungraded,Normal wear,,,0,1,2026-03-01,,,,
4613498,1952,Coins Franklin Half Dollar,2830,Ungraded,Normal wear,,,0,1,2026-02-27,,,,
4562886,1955,Coins Lincoln Wheat Penny,300,Ungraded,Normal wear,,,0,1,2026-02-20,,,,
4562748,1910,Coins Lincoln Wheat Penny,991,Ungraded,Normal wear,,,0,1,2026-02-20,,,,
4562834,1940,Coins Lincoln Wheat Penny,598,Ungraded,Normal wear,,,0,2,2026-02-20,,,,
4619424,1943,Coins Mercury Dime,761,Ungraded,Normal wear,,,0,1,2026-02-26,,,,
4619419,1942,Coins Mercury Dime,973,Ungraded,Normal wear,,,0,1,2026-02-26,,,,
4612448,1964 D,Coins Washington Quarter,22729,Ungraded,Normal wear,,,0,17,2026-03-01,,,,
4612443,1962,Coins Washington Quarter,3128,Ungraded,Normal wear,,,0,2,2026-02-16,,,,
4619482,1965,Coins Roosevelt Dime,1347,Ungraded,Normal wear,,,0,3,2026-02-26,,,,
4612413,1949 D,Coins Washington Quarter,2174,Ungraded,Normal wear,,,0,1,2026-03-01,,,,
4612466,1976 D,Coins Washington Quarter,3360,Ungraded,Normal wear,,,0,21,2026-02-16,,,,
4619360,1918,Coins Mercury Dime,1034,Ungraded,Normal wear,,,0,1,2026-02-26,,,,
4562776,1919,Coins Lincoln Wheat Penny,926,Ungraded,Normal wear,,,0,1,2026-02-20,,,,
4611797,2000 D,Coins Sacagawea Dollar,660,Ungraded,Normal wear,,,0,2,2026-02-27,,,,
4612397,1944,Coins Washington Quarter,5660,Ungraded,Normal wear,,,0,4,2026-02-16,,,,
4563383,1901,Coins Indian Head Penny,946,Ungraded,Normal wear,,,0,2,2026-02-16,,,,
4612405,1946 S,Coins Washington Quarter,3720,Ungraded,Normal wear,,,0,2,2026-03-02,,,,
4562803,1929,Coins Lincoln Wheat Penny,4548,Ungraded,Normal wear,,,0,4,2026-02-20,,,,
4562773,1918,Coins Lincoln Wheat Penny,488,Ungraded,Normal wear,,,0,1,2026-02-20,,,,
4612370,1934 D,Coins Washington Quarter,3691,Ungraded,Normal wear,,,0,1,2026-03-02,,,,
4563375,1892,Coins Indian Head Penny,657,Ungraded,Normal wear,,,0,1,2026-02-16,,,,
4563373,1890,Coins Indian Head Penny,1200,Ungraded,Normal wear,,,0,2,2026-02-16,,,,
4612415,1950 D,Coins Washington Quarter,1752,Ungraded,Normal wear,,,0,1,2026-03-01,,,,
4562872,1950 D,Coins Lincoln Wheat Penny,424,Ungraded,Normal wear,,,0,2,2026-02-20,,,,
4612433,1957,Coins Washington Quarter,2798,Ungraded,Normal wear,,,0,2,2026-03-01,,,,
4619312,1904,Coins Barber Dime,1100,Ungraded,Normal wear,,,0,1,2026-02-26,,,,
4613525,1964,Coins Kennedy Half Dollar,23260,Ungraded,Normal wear,,,0,10,2025-11-05,,,,
4563364,1883,Coins Indian Head Penny,1260,Ungraded,Normal wear,,,0,1,2026-02-16,,,,
4562849,1944,Coins Lincoln Wheat Penny,1190,Ungraded,Normal wear,,,0,5,2026-02-20,,,,
4619821,1835,Coins Buffalo Nickel,536,Ungraded,Normal wear,,,0,1,2026-02-27,,,,
