Card #,Player/Card,Year/Brand,Qty,Value Each,Total Value
#24,David Robinson,1990 Hoops,6,1.17,7.02
#168,Glen Rice,1990 Hoops,1,0.99,0.99
#37,George Gervin,1981 Topps,1,2.28,2.28
#225,Charles Barkley,1990 Hoops,3,1.59,4.77
#64/75/102,Alex English / Moses Malone / Winford Boynes,1980 Topps,1,3.12,3.12
#73/111/152,Rudy Tomjanovich / Dan Issel / Brian Winters,1980 Topps,2,2.86,5.72
#64/102/192,Rich Kelley / Moses Malone / Winford Boynes,1980 Topps,1,2.01,2.01
#35/190/242,Don Buse / Elvin Hayes / M.L. Carr,1980 Topps,1,1.99,1.99
#200,John Stockton,1992 Stadium Club,1,2.25,2.25
#124,Gary Payton,1992 Stadium Club,1,0.36,0.36
#6/115/227,Mike Bantom / Adrian Dantley / James Bailey,1980 Topps,2,2.61,5.22
#16/36/59,Dave Cowens / Paul Westphal / Randy Smith,1980 Topps,1,1.78,1.78
#15,Calvin Murphy,1981 Topps,1,1.74,1.74
#260,Mitch Richmond,1989 Hoops,3,1.57,4.71
#15,Michael Jordan,1989 Collegiate Collection NC,10,3.11,31.10
#50,1980-81 Tar Heels,1989 Collegiate Collection NC,11,1.85,20.35
#154,Vlade Divac,1990 Hoops,4,1.32,5.28
#190,Pooh Richardson,1990 Hoops,1,1.11,1.11
#MW107,Artis Gilmore [Mid-West],1981 Topps,1,1.63,1.63
#17,Michael Jordan,1989 Collegiate Collection NC,10,3.99,39.90
#107/217/263,Joe Bryant / Bobby Jones / Moses Malone,1980 Topps,1,2.87,2.87
#65,Michael Jordan,1990 Hoops,4,3.00,12.00
#158,Bernard King [Members Only],1992 Stadium Club,1,0.99,0.99
#318,Shaquille O'Neal,1992 Classic 4 Sport,1,1.32,1.32
#68,Kenny Smith,1989 Collegiate Collection NC,1,0.99,0.99
#135/167/253,Kareem Abdul-Jabbar / John Shumate / Larry Demic,1980 Topps,1,4.01,4.01
#100,Patrick Ewing,1992 Stadium Club,1,1.52,1.52
#6/190/227,Don Buse / Adrian Dantley / James Bailey,1980 Topps,1,2.00,2.00
#11,Chris Mullin,1992 Stadium Club,1,1.14,1.14
#14,Michael Jordan,1989 Collegiate Collection NC,13,4.01,52.13
#6,Robert Parish,1981 Topps,1,3.77,3.77
#8,Robert Parish,1990 Hoops,1,1.25,1.25
#13,Karl Malone [Members Only],1992 Stadium Club,1,1.25,1.25
#71,Muggsy Bogues,1992 Stadium Club,1,1.73,1.73
#180,Glen Rice,1992 Stadium Club,1,0.57,0.57
#49,Mike Iuzzolino,1992 Stadium Club,1,1.38,1.38
#7,Artis Gilmore,1981 Topps,1,2.68,2.68
#43,Christian Laettner [Gold],1992 Classic Draft Picks,1,6.83,6.83
#11/136/191,Walter Davis / George Gervin / Jim Chones,1980 Topps,1,3.67,3.67
#64/102/192,Rich Kelley / Moses Malone / Winford Boynes,1980 Topps,2,2.01,4.02
#50,Isiah Thomas [Members Only],1992 Stadium Club,1,1.55,1.55
#13,Karl Malone,1992 Stadium Club,1,1.45,1.45
#E106,Bobby Jones [East],1981 Topps,1,1.92,1.92
#70,Oscar Robertson,1973 Topps,1,8.41,8.41
#110,Charles Barkley,1989 Hoops,1,1.59,1.59
#69,Kenny Anderson,1992 Stadium Club,1,1.35,1.35
#MW109,Bob Lanier [Mid-West],1981 Topps,1,1.75,1.75
#16,Clyde Drexler,1990 Hoops,1,1.11,1.11
#E108,Robert Parish [East],1981 Topps,2,2.75,5.50
#140,John Starks,1992 Stadium Club,1,1.25,1.25
#2,Michael Jordan,1985 Nike,1,536.53,536.53
#25,John Stockton,1990 Hoops,1,1.27,1.27
#15,Tom Chambers,1990 Hoops,1,1.15,1.15
#MW106,George Gervin [Mid-West],1981 Topps,1,1.83,1.83
#14,Rolando Blackman,1990 Hoops,1,1.08,1.08
#8,Michael Jordan,1986 Fleer Sticker,1,1112.50,1112.50
#6,Kevin McHale,1990 Hoops,1,1.16,1.16
#110,Kareem Abdul-Jabbar,1978 Topps,1,9.86,9.86
#34,Dennis Johnson,1981 Topps,1,2.50,2.50
#26/40/234,Rick Robey / Adrian Dantley / Eddie Johnson,1980 Topps,1,2.06,2.06
#39,Larry Bird,1990 Hoops,4,1.50,6.00
#12,Phil Ford,1989 Collegiate Collection NC,1,0.25,0.25
#48/105/122,Rick Barry / Otis Birdsong / John Mengelt,1980 Topps,1,1.87,1.87
#10/140/222,Mark Landsberger / Bob Lanier / Bill Walton,1980 Topps,1,5.29,5.29
#19,Kevin Johnson,1990 Hoops,2,1.43,2.86
#1,Shaquille O'Neal [Promo],1992 Classic Draft Picks,1,3.77,3.77
#181,Sarunas Marciulionis,1992 Stadium Club,1,0.06,0.06
#3,Nate Archibald,1981 Topps,1,1.99,1.99
#32,Magic Johnson,1992 Stadium Club,1,1.61,1.61
#42/169/218,Joe Meriweather / Lloyd Free / David Greenwood,1980 Topps,1,2.89,2.89
#10,Drazen Petrovic,1992 Stadium Club,1,1.13,1.13
#7/52/247,Moses Malone / Kevin Grevey / Dave Robisch,1980 Topps,1,2.00,2.00
#93/126/132,Kareem Abdul-Jabbar / Robert Parish / Tom Burleson,1980 Topps,2,4.74,9.48
#66,Jack Sikma,1979 Topps,1,1.92,1.92
#180,Akeem Olajuwon,1989 Hoops,2,1.30,2.60
#103/137/148,Mike Cooper / Moses Malone / George Johnson,1980 Topps,2,3.43,6.86
#54/105/123,Rick Barry / Sam Lacey / Kenny Carr,1980 Topps,1,2.32,2.32
#W68,Alex English [West],1981 Topps,1,1.64,1.64
#62/149/262,Marques Johnson / Julius Erving / Abdul Jeelani,1980 Topps,1,5.25,5.25
#21,Michael Jordan,1989 Hoops,8,2.15,17.20
#120,Rick Barry,1979 Topps,1,2.72,2.72
#155,Dennis Scott [Members Only],1992 Stadium Club,1,0.99,0.99
#6/115/227,Mike Bantom / Adrian Dantley / James Bailey,1980 Topps,1,2.61,2.61
#214,Nick Anderson,1990 Hoops,1,1.29,1.29
#270,David Robinson,1990 Hoops,55,1.25,68.75
#113,Tim Hardaway,1990 Hoops,40,1.29,51.60
#36/142/186,Dave Cowens / Paul Westphal / Jamaal Wilkes,1980 Topps,1,2.99,2.99
#30,Julius Erving,1981 Topps,10,6.10,61.00
#79/135/216,Kareem Abdul-Jabbar / David Thompson / Brian Taylor,1980 Topps,1,5.86,5.86
#172,David Robinson,1990 Fleer,5,1.30,6.50
#140,John Starks [Members Only],1992 Stadium Club,1,1.67,1.67
#32,Sam Perkins,1989 Collegiate Collection NC,2,1.84,3.68
#192,Larry Johnson,1992 Stadium Club,1,1.50,1.50
#35/141/242,Norm Nixon / Elvin Hayes / M.L. Carr,1980 Topps,1,2.60,2.60
#20,Kareem Abdul-Jabbar,1981 Topps,4,21.50,86.00
#31/198/228,Fred Brown / Larry Bird / Ron Brewer,1980 Topps,1,27.99,27.99
#14/168/240,Toby Knight / Lloyd Free / Adrian Dantley,1980 Topps,1,2.97,2.97
#148,Jeff Martin,1990 Hoops,1,0.88,0.88
#147,Kevin McHale,1992 Stadium Club,1,1.75,1.75
#55/89/144,Don Ford / Marques Johnson / Bob McAdoo,1980 Topps,1,1.34,1.34
#3,Joe Dumars,1990 Hoops,1,1.06,1.06
#29/73/152,Dan Roundfield / Dan Issel / Brian Winters,1980 Topps,1,1.45,1.45
#7/92/185,Moses Malone / Steve Mix / Robert Parish,1980 Topps,2,3.36,6.72
#13,Michael Jordan,1989 Collegiate Collection NC,10,3.05,30.50
#1,Shaquille O'Neal,1992 Classic Draft Picks,1,1.99,1.99
#32,Magic Johnson [Members Only],1992 Stadium Club,1,1.49,1.49
#13,Christian Laettner [Promo],1992 Classic Draft Picks,1,0.25,0.25
#46/97/187,Robert Parish / Leonard Robinson / Dwight Jones,1980 Topps,1,2.78,2.78
#20,Kareem Abdul-Jabbar,1981 Topps,1,8.00,8.00
#100,Moses Malone,1979 Topps,3,2.50,7.50
#107/192/263,Rich Kelley / Bobby Jones / Moses Malone,1980 Topps,1,2.36,2.36
#406,Danny Ferry,1990 Hoops,1,1.74,1.74
#126,Vlade Divac,1992 Stadium Club,1,1.48,1.48
#14/189/240,Alvan Adams / Lloyd Free / Adrian Dantley,1980 Topps,1,2.00,2.00
#50,John Long / Phil Hubbard / Ron Lee,1981 Topps,1,1.25,1.25
#157,Magic Johnson,1990 Hoops,1,1.30,1.30
#2/68/75,Alex English / Marques Johnson / Jeff Judkins,1980 Topps,1,2.01,2.01
#1,Michael Jordan,1992 Stadium Club,1,8.71,8.71
#MW110,Moses Malone [Mid-West],1981 Topps,2,2.28,4.56
#29,Darryl Dawkins,1981 Topps,1,1.25,1.25
#22,Chris Mullin,1990 Hoops,2,0.99,1.98
#198,Scottie Pippen,1992 Stadium Club,1,1.82,1.82
#5,Dean Smith,1989 Collegiate Collection NC,2,2.09,4.18
#16,Michael Jordan,1989 Collegiate Collection NC,12,4.95,59.40
#26,James Worthy,1990 Hoops,1,1.32,1.32
#279,Shawn Kemp,1990 Hoops,36,1.23,44.28
#59,Julius Erving / Caldwell Jones / Maurice Cheeks,1981 Topps,1,2.26,2.26
#5,Michael Jordan,1990 Hoops,5,2.23,11.15
#1,Shaquille O'Neal,1992 Classic 4 Sport,1,1.89,1.89
#135/167/253,Kareem Abdul-Jabbar / John Shumate / Larry Demic,1980 Topps,2,4.01,8.02
#73/111/152,Rudy Tomjanovich / Dan Issel / Brian Winters,1980 Topps,1,2.86,2.86
#93/126/132,Kareem Abdul-Jabbar / Robert Parish / Tom Burleson,1980 Topps,1,4.74,4.74
#21,Karl Malone,1990 Hoops,1,1.12,1.12
#22,Byron Scott,1992 Stadium Club,1,0.99,0.99
#11/136/178,Maurice Cheeks / George Gervin / Jim Chones,1980 Topps,1,3.50,3.50
#72/208/249,George Gervin / Dan Issel / Mitch Kupchak,1980 Topps,1,3.14,3.14
#32/118/248,James Edwards / Nate Archibald / Elvin Hayes,1980 Topps,1,2.91,2.91
#10,David Robinson,1990 Fleer All-Star,5,1.25,6.25
#33,Larry Bird [Members Only],1992 Stadium Club,1,3.19,3.19
#86/93/126,Phil Hubbard / Robert Parish / Tom Burleson,1980 Topps,1,1.68,1.68
#196,Dikembe Mutombo,1992 Stadium Club,1,0.28,0.28
#147,Kevin McHale [Members Only],1992 Stadium Club,1,0.99,0.99
#199,Clyde Drexler,1992 Stadium Club,1,0.93,0.93
#10,Kareem Abdul-Jabbar,1979 Topps,1,9.83,9.83
#45,Bill Walton,1979 Topps,1,2.91,2.91
